Total Death,Crew Death,Passenger Death,Ground Death,Type,Incident[nb 8],Aircraft,Location,Phase,Date,Latitude,Longitude
73,8,65,0,COM,Avianca Flight 52,Boeing 707-321B,"Cove Neck, New York, US",APR,25-Jan-90,,
73,7,66,0,COM,Balkan Bulgarian (LZ-TUB),Tupolev Tu-134,"Gabare,ˇVratsa, Bulgaria",ENR,16-Mar-78,,
73,11,61,1,COM,Sabena Flight 548,Boeing 707-320,"Brussels, Belgium",APR,15-Feb-61,,
72,9,63,0,COM,Aeroflot (CCCP-65795),Tupolev Tu-134A,"Bohnsdorf, Germany",APR,12-Dec-86,,
73,9,63,1,COM,Western Airlines Flight 2605,McDonnell Douglas DC-10-10,"Mexico City, Mexico",LDG,31-Oct-79,,
72,2,61,9,COM,Southern Airways Flight 242,McDonnell Douglas DC-9-31,"New Hope, Georgia, US",ENR,4-Apr-77,,
72,5,67,0,COM,Aeroflot (CCCP-42471),Tupolev Tu-104B,"Dmitrovsky, Russia",ENR,28-Nov-76,,
72,6,66,0,COM,Faucett (OB-R-148),Douglas C-54A-5-DC Skymaster,"Cordillera Blanca, Peru",ENR,8-Dec-67,,
72,3,69,0,COM,British Midland Airways Flight (G-ALHG),Canadair C-4 Argonaut,"Stockport, England, UK",APR,4-Jun-67,,
72,8,64,0,COM,?SA Flight 511,Ilyushin Il-18V,"Bouskoura, Morocco",ENR,12-Jul-61,,
71,11,60,0,COM,Bashkirian Airlines Flight 2937ˇandˇDHL Flight 611,Tupolev Tu-154MˇandˇBoeing 757-23APF,"öberlingen, Germany",ENR,1-Jul-02,,
71,3,68,0,COM,Cameroon Airlines Flight 3701,Boeing 737-200,"Douala, Cameroon",APR,3-Dec-95,,
71,9,43,19,COM,EgyptAir Flight 864,Boeing 707-366C,"Bangkok, Thailand",APR,25-Dec-76,,
70,8,62,0,COM,Aerosvit Flight 241,Yakovlev Yak-42,"Pierian Mts, Greece",ENR,17-Dec-97,,
70,9,61,0,COM,Aeroper£ Flight 603,Boeing 757-23A,"Pacific Ocean, area ofˇLima, Peru",ENR,2-Oct-96,,
70,7,63,0,COM,Mandala Airlines Flight 660,Vickers Viscount 816,"Mt. Lalaboy,ˇAmbon Island, Indonesia",APR,24-Jul-92,,
70,4,66,0,COM,Aeroflot (CCCP-65766),Tupolev Tu-134A,"Kurumoch,ˇSamara, Russia",LDG,20-Oct-86,,
70,6,64,0,COM,Galaxy Airlines Flight 203,Lockheed L-188 Electra,"Reno, Nevada, US",ICL,21-Jan-85,,
70,2,68,0,COM,Eastern Air Lines Flight 212,McDonnell Douglas DC-9-31,"Charlotte, North Carolina, US",APR,11-Sep-74,,
70,5,65,0,COM,TWA Flight 128,Convair CV-880-22-1,"Hebron, Kentucky, US",APR,20-Nov-67,,
69,6,63,0,COM,Indian Airlines Flight 257,Boeing 737-2A8,"Imphal, India",APR,16-Aug-91,,
69,9,59,1,COM,Aeroflot Flight 331,Ilyushin Il-62M,"Boyeros, Cuba",APR,27-May-77,,
69,7,62,0,COM,Merpati Nusantara Airlines Viscount (PK-MVS),Vickers Viscount 828,"Mentawai Strait, offˇPadang, Indonesia",ENR,10-Nov-71,,
69,9,60,0,COM,Fuerza AÇrea Argentina (TC-48),Douglas C-54 Skymaster,Central America[nb 18],ENR,3-Nov-65,,
68,7,61,0,COM,Aero Caribbean Flight 883,ATR 72-212,"Guasimal, Cuba",ENR,4-Nov-10,,
68,4,64,0,COM,American Eagle Flight 4184,ATR 72-212,"nearˇRoselawn, Indiana, US",APR,31-Oct-94,,
68,2,66,0,COM,Asiana Airlines Flight 733,Boeing 737-5L9,"Mokpo, South Korea",APR,26-Jul-93,,
68,8,60,0,COM,Fuerza AÇrea Venezolana (7772),Lockheed C-130H Hercules,"Lajes, Azores, Portugal",APR,3-Sep-76,,
68,7,61,0,COM,Iberia Flight 504ˇandˇSpantax Flight 400,McDonnell Douglas DC-9-32andˇConvair CV-990-30A-5,"La Planche, France",ENR,5-Mar-73,,
68,4,64,0,COM,Toa Domestic Airlines Flight 533,NAMC YS-11A-217,"Yokotsu Mtn.,ˇHakodate, Japan",ENR,3-Jul-71,,
68,9,59,0,COM,TWA Flight 891,Lockheed L-1649 Starliner,"Busto Arsizio, Italy",ENR,26-Jun-59,,
67,4,63,0,COM,Transporte AÇreo Militar (TAM-44),Convair CV-440-12,"Cordillera Mts., La Paz Region, Bolivia",ENR,27-Oct-75,,
67,8,59,0,COM,Aeroflot Flight 25,Ilyushin Il-18,"Urakhcha,ˇRybno-Slobodsky, Tatarstan, Russia",ENR,4-Apr-63,,
67,7,60,0,COM,Aerol°neas Argentinas Flight 644,Douglas DC-6,"Cachari,ˇBuenos Aires, Argentina",ENR,19-Jul-61,,
66,7,59,0,COM,Iran Aseman Airlines Flight 746,Fokker F-28 Fellowship 1000,"Natanz, Iran",ENR,12-Oct-94,,
66,4,62,0,COM,Turkish Airlines Flight 301,Fokker F28-1000 Fellowship,"Cumaovas?, Turkey",TOF,26-Jan-74,,
66,4,62,0,COM,Aeroflot Flight 141,Tupolev Tu-154,"Prague, Czech Republic",APR,19-Feb-73,,
66,3,63,0,COM,United Airlines Flight 409,Douglas DC-4,"Medicine Bow Peak, Wyoming, US",ENR,6-Oct-55,,
66,9,57,0,COM,United States Navy (131612),Douglas R6D-1 (DC-6),"Pali Kea Peak,ˇWaianae Range, Oahu, Hawaii, US",APR,22-Mar-55,,
65,?,?,0,COM,Iran Aseman Airlines/Itek Air Flight 6895,Boeing 737-219,"Bishkek, Kyrgyzstan",APR,24-Aug-08,,
65,3,60,2,COM,LAPA Flight 3142,Boeing 737-204C,"Palermo, Argentina",TOF,31-Aug-99,,
65,6,59,0,COM,Vietnam Airlines Flight 815,Tupolev Tu-134,"Phnom Penh, Cambodia",APR,3-Sep-97,,
65,7,58,0,COM,Aviateca Flight 901,Boeing 737-200,"San Vicente Vol., El Salvador",APR,9-Aug-95,,
65,8,57,0,COM,Aeroflot Flight 1969,Antonov An-10,"Lutuhyne, Ukraine",APR,31-Mar-71,,
65,2,63,0,COM,American Airlines Flight 320,Lockheed L-188 Electra,"East River, New York, US",APR,3-Feb-59,,
64,9,55,0,COM,Aeroflot Flight 7957,Antonov An-24ˇandˇYakovlev Yak-40,"Black Sea, nearˇAnapa, Russia",ENR,9-Sep-76,,
